iata,city,country,latitude,longitude
8346,Dakar,Senegal,14.6708,-17.4381
8346,,Senegal,14.0,-14.0
6453,,,47.0,8.0
6453,,,47.0,8.0
6453,,,47.0,8.0
6453,,,47.0,8.0
3257,,Romania,46.0,25.0
3257,,Ireland,53.3472,-6.2439
8346,,Senegal,14.0,-14.0
8346,Dakar,Senegal,14.6708,-17.4381
8346,,Senegal,14.0,-14.0
16509,Dublin,Ireland,53.3338,-6.2488
8346,,Senegal,14.0,-14.0
8346,Dakar,Senegal,14.6708,-17.4381
8346,,Senegal,14.0,-14.0
6453,,,47.0,8.0
6453,,,47.0,8.0
6453,,,47.0,8.0
174,,,47.0,8.0
174,,United States,37.751,-97.822
174,,,47.0,8.0
174,,,47.0,8.0
174,,,47.0,8.0
174,,United States,37.751,-97.822
174,,United States,37.751,-97.822
174,,United States,37.751,-97.822
174,Thamesmead,United Kingdom,51.5037,0.1198
2018,,South Africa,-29.0,24.0
2018,,South Africa,-29.0,24.0
2018,,South Africa,-29.0,24.0
2018,Cape Town,South Africa,-33.9258,18.4259
2018,Bellville,South Africa,-33.9,18.6333
8346,,Senegal,14.0,-14.0
8346,Dakar,Senegal,14.6708,-17.4381
8346,,Senegal,14.0,-14.0
6453,,,47.0,8.0
6453,,,47.0,8.0
6453,,,47.0,8.0
174,,,47.0,8.0
174,,United States,37.751,-97.822
174,,,47.0,8.0
174,,,47.0,8.0
174,,,47.0,8.0
174,,United States,37.751,-97.822
174,,United States,37.751,-97.822
174,,United States,37.751,-97.822
174,Thamesmead,United Kingdom,51.5037,0.1198
2018,,South Africa,-29.0,24.0
2018,,South Africa,-29.0,24.0
2018,,South Africa,-29.0,24.0
2018,Cape Town,South Africa,-33.9258,18.4259
37286,,Nigeria,10.0,8.0
37286,,Nigeria,10.0,8.0
36873,Suleja,Nigeria,9.1766,7.1751
3356,Brighton,United Kingdom,50.8345,-0.186
3356,,United States,37.751,-97.822
3356,Warsaw,Poland,52.1589,21.0005
37662,,Mauritius,-20.2833,57.55
37662,,Mauritius,-20.2833,57.55
37662,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847
36930,,Tanzania,-6.8227,39.291
36930,,Tanzania,-6.8227,39.291
36930,,Tanzania,-6.8227,39.291
37286,,Nigeria,10.0,8.0
37286,,Nigeria,10.0,8.0
36873,Suleja,Nigeria,9.1766,7.1751
22354,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847
37282,Lagos,Nigeria,6.4474,3.3903
37282,,Nigeria,10.0,8.0
37282,,Nigeria,10.0,8.0
37662,,Mauritius,-20.2833,57.55
37662,Marseille,France,43.2951,5.3861
327700,,Mozambique,-18.25,35.0
31960,Maputo,Mozambique,-25.9653,32.5892
31960,Maputo,Mozambique,-25.9653,32.5892
31960,Maputo,Mozambique,-25.9653,32.5892
31960,Maputo,Mozambique,-25.9653,32.5892
37282,Lagos,Nigeria,6.4474,3.3903
37282,,Nigeria,10.0,8.0
37282,,Nigeria,10.0,8.0
1200,,Netherlands,52.3824,4.8995
37100,,Mauritius,-20.2833,57.55
37100,,Mauritius,-20.2833,57.55
37100,,Mauritius,-20.2833,57.55
37100,,Mauritius,-20.2833,57.55
37100,Maputo,Mozambique,-25.9653,32.5892
37100,Maputo,Mozambique,-25.9653,32.5892
31960,Maputo,Mozambique,-25.9653,32.5892
31960,Maputo,Mozambique,-25.9653,32.5892
37282,Lagos,Nigeria,6.4474,3.3903
37282,,Nigeria,10.0,8.0
37282,,Nigeria,10.0,8.0
37282,,Nigeria,10.0,8.0
327992,,Ghana,8.0,-2.0
327947,Kumasi,Ghana,6.6833,-1.6167
327947,Kumasi,Ghana,6.6833,-1.6167
327947,Kumasi,Ghana,6.6833,-1.6167
37282,Lagos,Nigeria,6.4474,3.3903
37282,,Nigeria,10.0,8.0
37282,,Nigeria,10.0,8.0
37282,,Nigeria,10.0,8.0
327992,,Ghana,8.0,-2.0
37074,Accra,Ghana,5.5502,-0.2174
37074,Accra,Ghana,5.5502,-0.2174
37074,,Ghana,8.0,-2.0
37282,Lagos,Nigeria,6.4474,3.3903
37282,,Nigeria,10.0,8.0
37282,,Nigeria,10.0,8.0
1200,,Netherlands,52.3824,4.8995
21320,,United Kingdom,51.4964,-0.1224
20965,,United Kingdom,51.4964,-0.1224
21320,,United Kingdom,51.4964,-0.1224
3208,,Algeria,36.7642,3.1468
3208,,Algeria,36.7642,3.1468
37282,Lagos,Nigeria,6.4474,3.3903
37282,,Nigeria,10.0,8.0
37282,,Nigeria,10.0,8.0
1200,,Netherlands,52.3824,4.8995
21320,,United Kingdom,51.4964,-0.1224
20965,,United Kingdom,51.4964,-0.1224
21320,,United Kingdom,51.4964,-0.1224
3208,,Algeria,36.7642,3.1468
37286,,Nigeria,10.0,8.0
37286,,Nigeria,10.0,8.0
36873,Suleja,Nigeria,9.1766,7.1751
3356,Brighton,United Kingdom,50.8345,-0.186
3356,,United States,37.751,-97.822
3356,,United States,37.751,-97.822
6762,,Italy,43.1479,12.1097
6762,,Italy,43.1479,12.1097
36884,,Morocco,32.0,-5.0
30983,,Morocco,32.0,-5.0
37286,,Nigeria,10.0,8.0
37286,,Nigeria,10.0,8.0
36873,Suleja,Nigeria,9.1766,7.1751
53589,Laval,Canada,45.578,-73.8004
37286,,Nigeria,10.0,8.0
36873,Suleja,Nigeria,9.1766,7.1751
3356,Brighton,United Kingdom,50.8345,-0.186
6453,,United Kingdom,51.4964,-0.1224
6453,,,47.0,8.0
6453,,,47.0,8.0
8346,,Senegal,14.0,-14.0
8346,,Senegal,14.0,-14.0
8346,Dakar,Senegal,14.6708,-17.4381
8346,,Senegal,14.0,-14.0
8346,,Senegal,14.0,-14.0
8346,,Senegal,14.0,-14.0
