iata,name,city,country,latitude,longitude,s
6762,TELECOM ITALIA SPARKLE S.p.A.,,Italy,43.1479,12.1097,NigeriaMorocco
36884,MAROCCONNECT,,Morocco,32.0,-5.0,Morocco
30983,Moroccan Academic Network,,Morocco,32.0,-5.0,Morocco
36903,MT-MPLS,Salé,Morocco,34.0389,-6.8166,Morocco
6713,Itissalat Al-MAGHRIB,,Morocco,32.0,-5.0,Morocco
6713,Itissalat Al-MAGHRIB,,Morocco,32.0,-5.0,Morocco
6713,Itissalat Al-MAGHRIB,,Morocco,32.0,-5.0,Morocco
6762,TELECOM ITALIA SPARKLE S.p.A.,,Italy,43.1479,12.1097,NigeriaMorocco
6762,TELECOM ITALIA SPARKLE S.p.A.,,Italy,43.1479,12.1097,NigeriaMorocco
6762,TELECOM ITALIA SPARKLE S.p.A.,,Italy,43.1479,12.1097,NigeriaMorocco
36884,MAROCCONNECT,,Morocco,32.0,-5.0,Morocco
30983,Moroccan Academic Network,,Morocco,32.0,-5.0,Morocco
37084,Simbanet (T) Ltd,,Tanzania,-6.8227,39.291,Tanzania
37084,Simbanet (T) Ltd,,Tanzania,-6.8227,39.291,Tanzania
37084,Simbanet (T) Ltd,,Tanzania,-6.8227,39.291,Tanzania
36930,ZanZibar Telecom,,Tanzania,-6.8227,39.291,Tanzania
36930,ZanZibar Telecom,,Tanzania,-6.8227,39.291,Tanzania
36930,ZanZibar Telecom,,Tanzania,-6.8227,39.291,Tanzania
37182,TERNET,,Tanzania,-6.8227,39.291,Tanzania
36930,ZanZibar Telecom,,Tanzania,-6.8227,39.291,Tanzania
36930,ZanZibar Telecom,,Tanzania,-6.8227,39.291,Tanzania
36930,ZanZibar Telecom,,Tanzania,-6.8227,39.291,Tanzania
327900,SIMPLYCONNECT-Simply-Computers,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847,Tanzania
327900,SIMPLYCONNECT-Simply-Computers,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847,Tanzania
36930,ZanZibar Telecom,,Tanzania,-6.8227,39.291,Tanzania
36930,ZanZibar Telecom,,Tanzania,-6.8227,39.291,Tanzania
36930,ZanZibar Telecom,,Tanzania,-6.8227,39.291,Tanzania
3491,PCCW Global Inc.,,United States,37.751,-97.822,MozambiqueGhana
3491,PCCW Global Inc.,,United States,37.751,-97.822,MozambiqueGhana
3491,PCCW Global Inc.,,United States,37.751,-97.822,MozambiqueGhana
1273,CW Vodafone Group PLC,,United Kingdom,51.4964,-0.1224,GhanaNigeria
1273,CW Vodafone Group PLC,,United Kingdom,51.4964,-0.1224,GhanaNigeria
1273,CW Vodafone Group PLC,,United Kingdom,51.4964,-0.1224,GhanaNigeria
29614,VODAFONE GHANA AS INTERNATIONAL TRANSIT,Accra,Ghana,5.5502,-0.2174,Ghana
29614,VODAFONE GHANA AS INTERNATIONAL TRANSIT,Accra,Ghana,5.5502,-0.2174,Ghana
327947,KNUST,,Ghana,8.0,-2.0,Ghana
327947,KNUST,Kumasi,Ghana,6.6833,-1.6167,Ghana
327947,KNUST,Kumasi,Ghana,6.6833,-1.6167,Ghana
327814,Ecoband,,Ghana,8.0,-2.0,Ghana
327814,Ecoband,,Ghana,8.0,-2.0,Ghana
327814,Ecoband,,Ghana,8.0,-2.0,Ghana
327992,GHANAIAN-ACADEMIC-AND-RESEARCH-NETWORK,,Ghana,8.0,-2.0,Ghana
327947,KNUST,Kumasi,Ghana,6.6833,-1.6167,Ghana
327947,KNUST,Kumasi,Ghana,6.6833,-1.6167,Ghana
327947,KNUST,Kumasi,Ghana,6.6833,-1.6167,Ghana
30997,GIXA-AS,,Ghana,8.0,-2.0,Ghana
327992,GHANAIAN-ACADEMIC-AND-RESEARCH-NETWORK,,Ghana,8.0,-2.0,Ghana
327947,KNUST,Kumasi,Ghana,6.6833,-1.6167,Ghana
327947,KNUST,Kumasi,Ghana,6.6833,-1.6167,Ghana
327947,KNUST,Kumasi,Ghana,6.6833,-1.6167,Ghana
3208,ARN,,Algeria,36.7642,3.1468,Algeria
3208,ARN,,Algeria,36.7642,3.1468,Algeria
3208,ARN,,Algeria,36.7642,3.1468,Algeria
3208,ARN,,Algeria,36.7642,3.1468,Algeria
3208,ARN,,Algeria,36.7642,3.1468,Algeria
3208,ARN,,Algeria,36.7642,3.1468,Algeria
3208,ARN,,Algeria,36.7642,3.1468,Algeria
36947,Telecom Algeria,,Algeria,36.7642,3.1468,Algeria
3208,ARN,,Algeria,36.7642,3.1468,Algeria
3208,ARN,,Algeria,36.7642,3.1468,Algeria
3208,ARN,,Algeria,36.7642,3.1468,Algeria
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,Dakar,Senegal,14.6708,-17.4381,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
