iata,name,city,country,latitude,longitude
36982,UCT,Cape Town,South Africa,-33.9258,18.4259
8346,Autonomous System,Saint-Louis,Senegal,16.0189,-16.4953
36982,UCT,Cape Town,South Africa,-33.9258,18.4259
36982,UCT,Cape Town,South Africa,-33.9258,18.4259
36982,UCT,Cape Town,South Africa,-33.9258,18.4259
8346,Autonomous System,,Senegal,14.0,-14.0
36982,UCT,Cape Town,South Africa,-33.9258,18.4259
36982,UCT,Cape Town,South Africa,-33.9258,18.4259
36982,UCT,Cape Town,South Africa,-33.9258,18.4259
36982,UCT,Cape Town,South Africa,-33.9258,18.4259
36982,UCT,Cape Town,South Africa,-33.9258,18.4259
36982,UCT,Cape Town,South Africa,-33.9258,18.4259
36914,Kenya Education Network,,Kenya,1.0,38.0
36982,UCT,Cape Town,South Africa,-33.9258,18.4259
36982,UCT,Cape Town,South Africa,-33.9258,18.4259
36982,UCT,Cape Town,South Africa,-33.9258,18.4259
37170,UNILAG,Lagos,Nigeria,6.4474,3.3903
36982,UCT,Cape Town,South Africa,-33.9258,18.4259
36982,UCT,Cape Town,South Africa,-33.9258,18.4259
36982,UCT,Cape Town,South Africa,-33.9258,18.4259
37686,ABUZ1-AS,Zaria,Nigeria,11.1132,7.7252
36982,UCT,Cape Town,South Africa,-33.9258,18.4259
36982,UCT,Cape Town,South Africa,-33.9258,18.4259
36982,UCT,Cape Town,South Africa,-33.9258,18.4259
36982,UCT,Cape Town,South Africa,-33.9258,18.4259
36982,UCT,Cape Town,South Africa,-33.9258,18.4259
36982,UCT,Cape Town,South Africa,-33.9258,18.4259
16509,Amazon.com, Inc.,Dublin,Ireland,53.3338,-6.2488
8346,Autonomous System,,Senegal,14.0,-14.0
8346,Autonomous System,Dakar,Senegal,14.6708,-17.4381
8346,Autonomous System,,Senegal,14.0,-14.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
37662,WIOCC-AS,,Mauritius,-20.2833,57.55
37662,WIOCC-AS,,Mauritius,-20.2833,57.55
37662,WIOCC-AS,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847
36930,ZanZibar Telecom,,Tanzania,-6.8227,39.291
36930,ZanZibar Telecom,,Tanzania,-6.8227,39.291
36930,ZanZibar Telecom,,Tanzania,-6.8227,39.291
8346,Autonomous System,,Senegal,14.0,-14.0
8346,Autonomous System,Dakar,Senegal,14.6708,-17.4381
8346,Autonomous System,,Senegal,14.0,-14.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
37100,SEACOM-AS,Marseille,France,43.2951,5.3861
37100,SEACOM-AS,,Mauritius,-20.2833,57.55
37100,SEACOM-AS,,Mauritius,-20.2833,57.55
37100,SEACOM-AS,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847
37100,SEACOM-AS,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847
22354,UNIV-DAR,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847
22354,UNIV-DAR,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847
8346,Autonomous System,,Senegal,14.0,-14.0
8346,Autonomous System,Dakar,Senegal,14.6708,-17.4381
8346,Autonomous System,,Senegal,14.0,-14.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
37662,WIOCC-AS,,Mauritius,-20.2833,57.55
37662,WIOCC-AS,Marseille,France,43.2951,5.3861
327700,MoRENet,,Mozambique,-18.25,35.0
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892
8346,Autonomous System,,Senegal,14.0,-14.0
8346,Autonomous System,Dakar,Senegal,14.6708,-17.4381
8346,Autonomous System,,Senegal,14.0,-14.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
3257,GTT Communications Inc.,,Romania,46.0,25.0
3257,GTT Communications Inc.,,Ireland,53.3472,-6.2439
37100,SEACOM-AS,Marseille,France,43.2951,5.3861
37100,SEACOM-AS,,Mauritius,-20.2833,57.55
37100,SEACOM-AS,,Mauritius,-20.2833,57.55
37100,SEACOM-AS,Maputo,Mozambique,-25.9653,32.5892
37100,SEACOM-AS,Maputo,Mozambique,-25.9653,32.5892
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892
31960,EMUNET,Maputo,Mozambique,-25.9653,32.5892
8346,Autonomous System,,Senegal,14.0,-14.0
8346,Autonomous System,Dakar,Senegal,14.6708,-17.4381
8346,Autonomous System,,Senegal,14.0,-14.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
8657,Servicos De Comunicacoes E Multimedia S.A.,,Portugal,38.7139,-9.1394
29614,VODAFONE GHANA AS INTERNATIONAL TRANSIT,Accra,Ghana,5.5502,-0.2174
327947,KNUST,,Ghana,8.0,-2.0
327947,KNUST,Kumasi,Ghana,6.6833,-1.6167
327947,KNUST,Kumasi,Ghana,6.6833,-1.6167
8346,Autonomous System,,Senegal,14.0,-14.0
8346,Autonomous System,Dakar,Senegal,14.6708,-17.4381
8346,Autonomous System,,Senegal,14.0,-14.0
5511,Orange,,France,48.8582,2.3387000000000002
5511,Orange,,France,48.8582,2.3387000000000002
5511,Orange,,France,48.8582,2.3387000000000002
1273,CW Vodafone Group PLC,,United Kingdom,51.4964,-0.1224
1273,CW Vodafone Group PLC,,United Kingdom,51.4964,-0.1224
29614,VODAFONE GHANA AS INTERNATIONAL TRANSIT,,Ghana,8.0,-2.0
29614,VODAFONE GHANA AS INTERNATIONAL TRANSIT,,Ghana,8.0,-2.0
37074,University of Ghana,Accra,Ghana,5.5502,-0.2174
37074,University of Ghana,Accra,Ghana,5.5502,-0.2174
37074,University of Ghana,,Ghana,8.0,-2.0
8346,Autonomous System,,Senegal,14.0,-14.0
8346,Autonomous System,Dakar,Senegal,14.6708,-17.4381
8346,Autonomous System,,Senegal,14.0,-14.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
174,Cogent Communications,,,47.0,8.0
174,Cogent Communications,,United States,37.751,-97.822
174,Cogent Communications,,,47.0,8.0
174,Cogent Communications,,,47.0,8.0
174,Cogent Communications,,,47.0,8.0
174,Cogent Communications,,United States,37.751,-97.822
174,Cogent Communications,,,47.0,8.0
174,Cogent Communications,,United States,37.751,-97.822
20965,GEANT Vereniging,,United Kingdom,51.4964,-0.1224
21320,GEANT Vereniging,,United Kingdom,51.4964,-0.1224
3208,ARN,,Algeria,36.7642,3.1468
3208,ARN,,Algeria,36.7642,3.1468
8346,Autonomous System,,Senegal,14.0,-14.0
8346,Autonomous System,Dakar,Senegal,14.6708,-17.4381
8346,Autonomous System,,Senegal,14.0,-14.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
174,Cogent Communications,,,47.0,8.0
174,Cogent Communications,,United States,37.751,-97.822
174,Cogent Communications,,United States,37.751,-97.822
174,Cogent Communications,,,47.0,8.0
174,Cogent Communications,,,47.0,8.0
174,Cogent Communications,,United States,37.751,-97.822
174,Cogent Communications,,,47.0,8.0
174,Cogent Communications,,United States,37.751,-97.822
20965,GEANT Vereniging,,United Kingdom,51.4964,-0.1224
21320,GEANT Vereniging,,United Kingdom,51.4964,-0.1224
3208,ARN,,Algeria,36.7642,3.1468
8346,Autonomous System,,Senegal,14.0,-14.0
8346,Autonomous System,Dakar,Senegal,14.6708,-17.4381
8346,Autonomous System,,Senegal,14.0,-14.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
6762,TELECOM ITALIA SPARKLE S.p.A.,,Italy,43.1479,12.1097
6762,TELECOM ITALIA SPARKLE S.p.A.,,Italy,43.1479,12.1097
36884,MAROCCONNECT,,Morocco,32.0,-5.0
30983,Moroccan Academic Network,,Morocco,32.0,-5.0
8346,Autonomous System,,Senegal,14.0,-14.0
